,,,,Rougé-Maillart 2009,,,,,,,,,Buckberry and Chamberlain 2002,,,,,,,Lovejoy 1985,,Suchey-Brooks 1990,,Iscan 1984-1985,,Falys and Prangle 2015,,,,,Beauthier 2010,,,,,,Mann 1991
CIM,Age-at-death,ASAB,,ORGANIZZAZIONE TRASVERSA (1-7),SURFACE TEXTURE (1-5),POROSITà (1-5),ATTIVITà APICE (1-3),RIM (1-5),FOSSA (1-4),ATTIVITà APICE (1-3),SCORE,,ORGANIZZAZIONE TRASVERSA (1-5),SURFACE TEXTURE (1-5),MICROPOROSITà (1-3),MACROPOROSITà (1-3),ATTIVITà APICE (1-3),SCORE,,SCORE,,SCORE,,SCORE,,topography,porosity,osteophitic formation,SCORE,,IN,AMP,TP,PMP,cp,,GROUP
774,28,M,,2,3,2,1,2,2,1,13,,2,3,2,1,1,9,,3,,,,,,1,1,1,3,,14,0,5,0,1.27,,2
782,49,M,,2,3,2,1,4,2,2,16,,2,4,2,1,1,10,,4,,,,7,,4,2,2,8,,14,1,6,7,1.87,,3
794,20,M,,2,2,1,2,1,2,2,12,,2,2,1,1,1,7,,2,,,,,,not fused,not fused,not fused,not fused,,,,,,,,
827,36,M,,2,2,1,2,1,2,2,12,,2,2,1,1,1,7,,4,,,,,,1,2,1,4,,16,11,22,8,3.80,,5
855,35,M,,3,3,2,2,3,2,2,17,,3,4,2,1,2,12,,4,,5,,,,2,2,1,5,,,,,,,,
857,29,M,,3,2,2,1,2,2,1,13,,3,2,2,1,1,9,,3,,5,,4,,1,2,1,4,,16,8,12,8,2.93,,3
858,55,M,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,10,,12,6,5,7,2.00,,3
880,80,M,,7,5,3,3,5,2,3,28,,5,5,3,1,3,17,,8,,6,,,,5,4,3,12,,16,8,18,8,3.33,,4
891,69,M,,6,5,4,3,4,3,3,28,,5,5,3,2,3,18,,8,,,,,,4,3,3,10,,16,1,14,5,2.40,,2
893,70,M,,7,5,4,3,4,1,2,26,,5,5,3,2,3,18,,8,,6,,7,,3,3,2,8,,16,6,20,8,3.33,,4
897,56,M,,5,5,4,2,5,2,3,26,,5,5,3,2,2,17,,7,,,,,,,,,,,16,6,11,7,2.67,,3
929,69,M,,5,5,3,2,3,2,3,23,,5,5,3,1,2,16,,7,,6,,,,5,4,2,11,,16,10,18,8,3.47,,5
932,63,M,,5,4,4,2,3,1,2,21,,5,4,3,2,2,16,,7,,,,,,4,2,2,8,,,,,,,,
933,57,M,,4,5,4,3,4,2,3,25,,4,5,3,2,3,17,,7,,6,,8,,3,2,2,7,,15,6,16,8,3.00,,3
948,70,M,,6,4,4,3,5,4,3,29,,5,4,3,2,3,17,,8,,6,,7,,5,2,2,9,,16,8,24,8,3.73,,4
949,76,M,,7,5,3,3,4,2,3,27,,5,5,3,1,3,17,,8,,6,,,,6,4,4,14,,16,1,22,8,3.13,,4
975,66,M,,5,5,3,3,5,3,3,27,,5,5,3,1,1,15,,8,,6,,,,5,4,2,11,,16,8,8,8,2.67,,3
995,79,M,,6,5,3,3,5,3,3,28,,5,5,3,1,3,17,,7,,6,,7,,4,4,2,10,,16,10,17,8,3.40,,3
1008,79,M,,7,5,4,3,5,2,3,29,,5,5,3,2,3,18,,8,,6,,,,5,4,3,12,,16,4,16,8,2.93,,3
1010,72,M,,6,5,4,3,5,2,2,27,,5,5,3,2,3,18,,8,,6,,,,3,3,2,8,,16,12,23,7,3.87,,5
1013,73,M,,5,5,4,2,4,4,2,26,,5,5,3,2,2,17,,8,,6,,8,,3,3,2,8,,16,2,20,6,2.93,,4
1014,80,M,,6,5,3,3,5,3,3,28,,5,5,3,1,3,17,,8,,6,,,,,,,,,,,,,,,
1017,78,M,,7,5,4,3,5,2,3,29,,5,5,3,2,2,17,,8,,6,,,,5,4,2,11,,15,9,20,8,3.47,,5
1019,75,M,,6,4,3,3,5,4,3,28,,5,4,3,1,3,16,,7,,5,,,,6,4,3,13,,,,,,,,
1021,67,M,,6,5,2,3,5,3,3,27,,5,5,2,1,3,16,,8,,6,,,,5,2,4,11,,16,8,16,7,3.13,,3
1022,79,M,,7,5,4,3,5,2,3,29,,5,5,3,2,3,18,,8,,6,,,,4,4,3,11,,16,6,18,6,3.07,,4
1034,76,M,,6,4,4,3,5,3,2,27,,5,5,3,2,3,18,,8,,,,,,,,,,,14,11,11,8,2.93,,3
1036,77,M,,7,5,5,3,5,2,3,30,,5,5,3,3,3,19,,8,,6,,8,,4,5,2,11,,,,,,,,
1039,60,M,,6,5,5,2,3,2,2,25,,5,5,3,3,2,18,,8,,4,,,,4,5,3,12,,12,7,21,6,3.07,,4
1045,76,M,,7,5,3,3,5,2,3,28,,5,5,3,1,3,17,,8,,,,,,4,4,2,10,,14,4,6,8,2.13,,3
1084,85,M,,7,5,3,3,5,4,2,29,,5,5,3,1,3,17,,8,,,,,,4,4,2,10,,16,1,5,8,2.00,,3
1141,78,M,,6,5,4,2,4,3,3,27,,5,5,3,1,2,16,,7,,6,,8,,3,3,2,8,,16,12,21,8,3.80,,5
1148,65,M,,6,5,4,3,5,2,3,28,,5,5,3,2,3,18,,8,,,,,,,,,,,,,,,,,
1160,76,M,,6,4,4,2,5,3,2,26,,5,4,3,2,3,17,,8,,6,,6,,4,4,2,10,,15,7,10,7,2.60,,3
1207,80,M,,,,,,,,,,,,,,,,,,,,,,,,6,5,3,14,,15,7,19,8,3.27,,4
1214,51,M,,6,4,4,2,5,3,3,27,,5,4,3,2,2,16,,7,,5,,6,,2,3,1,6,,16,11,21,7,3.67,,5
1218,65,M,,5,5,3,3,4,2,3,25,,5,5,3,1,3,17,,8,,6,,,,,,,,,16,11,20,8,3.67,,5
1220,48,M,,4,5,3,2,3,1,2,20,,4,5,2,1,2,14,,6,,,,,,,,,,,12,2,14,7,2.33,,3
1222,58,M,,5,5,3,2,3,2,2,22,,4,5,3,1,2,15,,7,,6,,,,4,4,1,9,,7,2,9,6,1.60,,1
1224,66,M,,6,5,3,3,4,2,3,26,,4,5,3,1,3,16,,7,,,,,,3,4,2,9,,16,12,23,8,3.93,,5
1226,55,M,,5,5,3,2,5,3,3,26,,4,5,3,2,2,16,,7,,6,,,,,,,,,16,6,11,7,2.67,,3
1228,64,M,,6,5,3,2,3,2,2,23,,5,5,3,1,2,16,,7,,6,,,,3,3,2,8,,15,0,14,7,2.40,,3
1229,52,M,,5,5,4,2,3,3,2,24,,5,5,3,1,2,16,,7,,6,,,,,,,,,15,3,2,8,1.87,,3
1230,68,M,,5,5,5,3,4,3,3,28,,5,5,3,3,3,19,,8,,6,,,,4,4,2,10,,15,8,17,8,3.20,,3
1233,57,M,,6,5,3,2,3,2,2,23,,5,5,3,1,2,16,,7,,6,,,,4,4,2,10,,7,1,11,6,1.67,,1
1236,62,M,,5,5,2,3,4,2,3,24,,5,5,2,1,3,16,,6,,6,,6,,4,5,3,12,,15,2,11,7,2.33,,3
1241,85,M,,7,5,5,3,5,3,3,31,,5,5,3,3,2,18,,8,,6,,,,6,6,3,15,,15,6,11,7,2.60,,3
1244,51,M,,6,4,4,2,2,2,2,22,,5,4,3,2,2,16,,7,,5,,6,,2,4,1,7,,14,11,22,8,3.67,,5
1245,61,M,,4,4,4,2,5,4,3,26,,4,4,3,2,2,15,,8,,,,,,,,,,,,,,,,,
1248,68,M,,7,5,3,3,5,4,3,30,,5,5,3,2,3,18,,8,,6,,,,3,2,2,7,,15,11,21,8,3.67,,5
1249,54,M,,4,4,3,2,4,2,2,21,,3,4,2,2,2,13,,5,,,,,,,,,,,15,1,0,7,1.53,,3
1250,49,M,,5,5,3,1,3,3,2,22,,4,5,3,1,1,14,,6,,5,,7,,4,3,2,9,,11,0,4,6,1.40,,1
1251,26,M,,2,3,1,1,2,1,1,11,,2,3,1,1,1,8,,2,,2,,,,1,1,1,3,,,,,,,,
1253,20,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,35,M,,2,4,2,1,2,2,2,15,,2,4,2,1,1,10,,4,,,,,,,,,,,8,0,15,6,1.93,,1
1258,60,M,,4,4,3,3,5,2,4,25,,4,4,3,1,2,14,,7,,6,,,,3,2,2,7,,15,2,4,7,1.87,,3
1259,29,M,,3,3,2,1,1,1,1,12,,3,3,2,1,1,10,,3,,,,,,partially fused,partially fused,partially fused,partially fused,,15,6,9,8,2.53,,3
1261,25,M,,4,1,1,1,3,2,2,14,,4,1,1,1,1,8,,2,,2,,,,partially fused,partially fused,partially fused,partially fused,,,,,,,,
1270,69,M,,6,5,3,3,4,3,3,27,,5,5,3,1,3,17,,8,,6,,8,,,,,,,15,2,8,5,2.00,,2
1274,60,M,,6,4,4,3,4,2,2,25,,5,4,3,2,3,17,,8,,6,,,,4,4,2,10,,15,6,11,8,2.67,,3
1293,47,M,,4,5,3,2,4,2,2,22,,4,5,3,1,2,15,,6,,,,,,3,2,2,7,,16,1,7,7,2.07,,3
1294,43,M,,4,3,3,2,3,2,2,19,,4,3,3,1,2,13,,5,,5,,,,3,1,1,5,,9,2,7,6,1.60,,1
